Violation Description,Violation Month,Violation Time,Age at Violation,State of License,Gender,Police Agency
"DISOBEY",4,"9:18:00 AM",59,"NEW YORK","F","COUNTY OF NASSAU  PD"
"DRIVING DANGEROUSLY",9,"2:17:00 PM",56,"NEW YORK","F","COUNTY OF PUTNAM  SHERIFF"
"SPEEDING",9,"6:27:00 PM",27,"VIRGINIA","M","OLEAN STATE POLICE"
"SPEEDING",10,"10:46:00 PM",26,"NEW YORK","F","FULTONVILLE TWAY STATE POLICE"
"SPEEDING",5,"1:45:00 AM",25,"NEW YORK","M","CITY OF BUFFALO PD"
"SPEEDING",6,"1:33:00 PM",45,"ONTARIO CANADA","F","HORSEHEADS STATE POLICE"
"DRIVING DANGEROUSLY",4,"12:00:00 AM",57,"NEW YORK","F","COUNTY OF SUFFOLK  PD"
"SPEEDING",10,"8:47:00 AM",41,"NEW YORK","M","CANANDAIGUA STATE POLICE"
"DRIVING DANGEROUSLY",8,"2:02:00 PM",61,"NEW YORK","F","CITY OF GLENS FALLS PD"
"SPEEDING",11,"11:04:00 PM",38,"NEW YORK","M","CORTLANDT STATE POLICE"
"DRIVING DANGEROUSLY",6,"2:20:00 PM",34,"NEW YORK","M","COUNTY OF NASSAU  PD"
"SPEEDING",11,"9:18:00 PM",23,"NEW YORK","M","COUNTY OF NASSAU  PD"
"SPEEDING",3,"10:42:00 AM",45,"NEW YORK","M","WAPPINGERS STATE POLICE"
"SPEEDING",9,"10:08:00 AM",49,"NEW YORK","F","TOWN OF TONAWANDA  PD"
"DISOBEY",5,"7:01:00 PM",44,"CONNECTICUT","M","ALBANY TWAY STATE POLICE"
"SEAT BELT",8,"3:53:00 PM",20,"NEW YORK","F","HIGHLAND STATE POLICE"
"SEAT BELT",1,"11:51:00 AM",17,"NEW YORK","M","KINGSTON STATE POLICE"
"ALCOHOL OR DRUGS USAGE",5,"11:39:00 PM",37,"NEW YORK","M","TOWN OF CAMILLUS  PD"
"SPEEDING",1,"12:33:00 PM",43,"NEW YORK","M","FREDONIA STATE POLICE"
"SPEEDING",10,"9:57:00 AM",45,"NEW YORK","M","ALDEN STATE POLICE"
"SPEEDING",10,"12:00:00 AM",23,"NEW YORK","M","LAKE SUCCESS STATE POLICE"
"ALCOHOL OR DRUGS USAGE",10,"3:00:00 AM",28,"NEW YORK","M","VILLAGE OF FREEPORT  PD"
"SPEEDING",4,"10:10:00 AM",39,"NEW YORK","M","BUFFALO TWAY STATE POLICE"
"DISOBEY",2,"11:20:00 PM",25,"NEW YORK","M","COUNTY OF SUFFOLK  PD"
"SPEEDING",9,"12:57:00 PM",25,"PENNSYLVANIA","M","HIGH PEAKS STATE POLICE"
