unit,age,sex,severity,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
PC,Y45-54,T,GE_D4,AT	: 	24.14 	23.63 	23.25 	23.23 	21.55 
PC,Y45-54,T,GE_D4,BE	: 	22 	21.29 	21.06 	20.11 	19.2 
PC,Y45-54,T,GE_D4,BG	: 	26.14 	27.84 	26.75 	26.52 	26.78 
PC,Y45-54,T,GE_D4,CH	22.3 	22.1 	21.61 	21.75 	20.98 	20.55 
PC,Y45-54,T,GE_D4,CY	25.23 	25.83 	23.75 	23.75 	24.56 	24.84 
PC,Y45-54,T,GE_D4,CZ	: 	20.31 	20.38 	21.53 	21.87 	20.36 
PC,Y45-54,T,GE_D4,DE	26.73 	25.72 	25.31 	25.56 	24.51 	23.46 
PC,Y45-54,T,GE_D4,DK	: 	27.21 	25.99 	25.94 	24.58 	22.11 
PC,Y45-54,T,GE_D4,EE	: 	26.15 	24.11 	25.64 	27.25 	26.01 
PC,Y45-54,T,GE_D4,EL	: 	25 	23.02 	23.46 	21.32 	20.67 
PC,Y45-54,T,GE_D4,ES	: 	22.89 	21.68 	20.65 	19.71 	17.55 
PC,Y45-54,T,GE_D4,EU15	: 	24.22 e	23.48 	23.18 	22.15 	20.54 
PC,Y45-54,T,GE_D4,EU27	: 	24.03 	23.39 	23.15 	22.2 	20.66 
PC,Y45-54,T,GE_D4,EU28	: 	24.04 	23.39 	23.16 	22.2 	: 
PC,Y45-54,T,GE_D4,FI	: 	31.77 	23.1 	23.87 	23.94 	22.6 
PC,Y45-54,T,GE_D4,FR	: 	22.04 	21.38 	20.9 	20.21 	19.02 
PC,Y45-54,T,GE_D4,HR	: 	27.4 	24.01 	25.17 	: 	: 
PC,Y45-54,T,GE_D4,HU	: 	20.33 	19.98 	21.25 	20.47 	21.4 
PC,Y45-54,T,GE_D4,IE	: 	0 	0 	16.59 	16.14 	16.4 
PC,Y45-54,T,GE_D4,IT	: 	28.05 	26.64 	25.63 	24.53 	22.19 
PC,Y45-54,T,GE_D4,LT	: 	26.25 	27.11 	26.19 	25.33 	23.56 
PC,Y45-54,T,GE_D4,LU	: 	28.7 	27.86 	28.25 	22.3 	20.34 
PC,Y45-54,T,GE_D4,LV	: 	21.34 	23.47 	22.8 	23.77 	21.92 
PC,Y45-54,T,GE_D4,MT	19.68 	19.35 	20.53 	21.27 	20.54 	20.52 
PC,Y45-54,T,GE_D4,NL	: 	26.09 	26.96 	28.08 	23.4 	22.58 
PC,Y45-54,T,GE_D4,NO	: 	: 	0 	0 	0 	0 
PC,Y45-54,T,GE_D4,PL	: 	20.42 	21.3 	22.39 	22.78 	22.47 
PC,Y45-54,T,GE_D4,PT	: 	23.5 	22.65 	22.4 	21.31 	: 
PC,Y45-54,T,GE_D4,RO	: 	25.65 	25.27 	24.11 	25.78 	23.75 
PC,Y45-54,T,GE_D4,SE	23.61 	23.22 	24.57 	24.27 	23.67 	20.74 
PC,Y45-54,T,GE_D4,SI	: 	27.55 	26.8 	26.91 	25.32 	24.81 
PC,Y45-54,T,GE_D4,SK	: 	24.63 	24.61 	25.17 	26.25 	24.81 
PC,Y45-54,T,GE_D4,UK	: 	18.59 	19.47 	19.71 	19.74 	18.01 
PC,Y45-54,UNK,FATALITY,AT	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,BE	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,BG	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,CH	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,CY	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,CZ	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,DE	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,DK	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,EE	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,EL	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,ES	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,EU15	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,EU27	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,EU28	: 	0 	0 	0 	0 	: 
PC,Y45-54,UNK,FATALITY,FI	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,FR	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,HR	: 	0 	0 	0 	: 	: 
PC,Y45-54,UNK,FATALITY,HU	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,IE	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,IT	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,LT	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,LU	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,LV	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,MT	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,NL	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,NO	: 	: 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,PL	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,PT	: 	0 	0 	0 	0 	: 
PC,Y45-54,UNK,FATALITY,RO	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,SE	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,SI	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,SK	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,FATALITY,UK	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,AT	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,BE	: 	0 	25 	5.26 	5.26 	2.63 
PC,Y45-54,UNK,GE_D4,BG	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,CH	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,CY	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,CZ	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,DE	0 	36.9 	27.85 	0 	27.41 	26.1 
PC,Y45-54,UNK,GE_D4,DK	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,EE	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,EL	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,ES	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,EU15	: 	18.97 u	19.8 e	5.14 u	8.04 u	11.45 u
PC,Y45-54,UNK,GE_D4,EU27	: 	18.97 u	19.8 e	5.14 u	8.04 u	11.33 u
PC,Y45-54,UNK,GE_D4,EU28	: 	18.97 u	19.8 e	5.14 u	8.04 u	: 
PC,Y45-54,UNK,GE_D4,FI	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,FR	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,HR	: 	0 	0 	0 	: 	: 
PC,Y45-54,UNK,GE_D4,HU	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,IE	: 	0 	0 	17.97 	2.59 	3.93 
PC,Y45-54,UNK,GE_D4,IT	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,LT	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,LU	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,LV	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,MT	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,NL	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,NO	: 	: 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,PL	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,PT	: 	0 	0 	0 	0 	: 
PC,Y45-54,UNK,GE_D4,RO	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,SE	0 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,SI	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,SK	: 	0 	0 	0 	0 	0 
PC,Y45-54,UNK,GE_D4,UK	: 	42.22 	0 	0 	0 	50 
PC,Y55-64,F,FATALITY,AT	: 	0 	0 	0 	33.33 	16.67 
PC,Y55-64,F,FATALITY,BE	: 	0 	0 	0 	100 	0 
PC,Y55-64,F,FATALITY,BG	: 	20 	33.33 	12.5 	50 	0 
PC,Y55-64,F,FATALITY,CH	0 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,CY	0 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,CZ	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,DE	57.14 	18.18 	0 	12.5 	12.5 	11.76 
PC,Y55-64,F,FATALITY,DK	: 	0 	0 	100 	0 	0 
PC,Y55-64,F,FATALITY,EE	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,EL	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,ES	: 	33.33 	0 	14.29 	0 	11.11 
PC,Y55-64,F,FATALITY,EU15	: 	19.57 	12.38 	17.07 	12.5 	10.45 
PC,Y55-64,F,FATALITY,EU27	: 	20.9 	15.38 	14.29 	11.81 	6.3 
PC,Y55-64,F,FATALITY,EU28	: 	20.9 	15.2 	14.29 	11.97 	: 
PC,Y55-64,F,FATALITY,FI	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,FR	: 	22.73 	9.52 	32 	14.29 	8.33 
PC,Y55-64,F,FATALITY,HR	: 	0 	0 	0 	: 	: 
PC,Y55-64,F,FATALITY,HU	: 	100 	50 	50 	0 	0 
PC,Y55-64,F,FATALITY,IE	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,IT	: 	25 	9.09 	10 	16.67 	11.76 
PC,Y55-64,F,FATALITY,LT	: 	100 	40 	33.33 	20 	0 
PC,Y55-64,F,FATALITY,LU	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,LV	: 	0 	0 	50 	25 	0 
PC,Y55-64,F,FATALITY,MT	0 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,NL	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,NO	: 	: 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,PL	: 	25 	50 	0 	14.29 	0 
PC,Y55-64,F,FATALITY,PT	: 	0 	66.67 	0 	0 	: 
PC,Y55-64,F,FATALITY,RO	: 	0 	12.5 	0 	3.85 	3.57 
PC,Y55-64,F,FATALITY,SE	0 	0 	25 	0 	0 	0 
PC,Y55-64,F,FATALITY,SI	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,SK	: 	0 	0 	0 	0 	0 
PC,Y55-64,F,FATALITY,UK	: 	0 	25 	0 	25 	0 
PC,Y55-64,F,GE_D4,AT	: 	8.38 	7.55 	7.42 	8.11 	6.29 
PC,Y55-64,F,GE_D4,BE	: 	6.92 	6.16 	6.04 	5.67 	4.77 
PC,Y55-64,F,GE_D4,BG	: 	19.77 	18.37 	18.97 	15.26 	14.82 
PC,Y55-64,F,GE_D4,CH	12.32 	12.38 	12.03 	12.43 	12.66 	12.06 
PC,Y55-64,F,GE_D4,CY	21.08 	22.69 	21.8 	23.04 	19.25 	19.27 
PC,Y55-64,F,GE_D4,CZ	: 	12.42 	11.65 	12.78 	11.15 	10.53 
PC,Y55-64,F,GE_D4,DE	17.55 	15.71 	16 	14.71 	14.68 	13.2 
PC,Y55-64,F,GE_D4,DK	: 	14.16 	12.93 	13.24 	11.76 	11.93 
PC,Y55-64,F,GE_D4,EE	: 	22.63 	24.25 	21.63 	23.72 	22.66 
PC,Y55-64,F,GE_D4,EL	: 	7.31 	7.74 	7.82 	8.53 	5.43 
PC,Y55-64,F,GE_D4,ES	: 	10.61 	9.48 	7.82 	7.36 	6.07 
PC,Y55-64,F,GE_D4,EU15	: 	12.62 	11.66 	10.78 	10.72 	8.93 
PC,Y55-64,F,GE_D4,EU27	: 	12.55 	11.63 	10.82 	10.65 	8.9 
PC,Y55-64,F,GE_D4,EU28	: 	12.53 	11.61 	10.8 	10.67 	: 
PC,Y55-64,F,GE_D4,FI	: 	27.52 	17.07 	16.19 	16.55 	15.98 
PC,Y55-64,F,GE_D4,FR	: 	10.09 	9 	8.71 	8.1 	7.56 
PC,Y55-64,F,GE_D4,HR	: 	7.33 	7.72 	7.19 	: 	: 
PC,Y55-64,F,GE_D4,HU	: 	13.37 	13.66 	13.69 	12.79 	9.75 
PC,Y55-64,F,GE_D4,IE	: 	7.05 	9.7 	8.25 	5.86 	5.98 
PC,Y55-64,F,GE_D4,IT	: 	13.96 	12.82 	12.09 	11.59 	7.82 
PC,Y55-64,F,GE_D4,LT	: 	14.75 	12.8 	16.87 	15.43 	14.26 
PC,Y55-64,F,GE_D4,LU	: 	6.96 	6.7 	6.99 	6.27 	5.05 
PC,Y55-64,F,GE_D4,LV	: 	24.33 	16.74 	23.98 	16.18 	19.92 
PC,Y55-64,F,GE_D4,MT	12.55 	13.02 	11.66 	6.81 	6.22 	3.67 
PC,Y55-64,F,GE_D4,NL	: 	15.34 	9.87 	9.55 	13.24 	5.89 
PC,Y55-64,F,GE_D4,NO	: 	: 	0 	0 	0 	0 
PC,Y55-64,F,GE_D4,PL	: 	10.32 	9.68 	8.86 	6.81 	5.14 
PC,Y55-64,F,GE_D4,PT	: 	9.79 	10.4 	9.71 	9.45 	: 
PC,Y55-64,F,GE_D4,RO	: 	6.07 	3.85 	5.41 	3.89 	3.36 
PC,Y55-64,F,GE_D4,SE	17.91 	17.85 	17.28 	16.93 	19.45 	18.49 
PC,Y55-64,F,GE_D4,SI	: 	5.15 	4.33 	4.63 	4.2 	3.48 
PC,Y55-64,F,GE_D4,SK	: 	10.88 	10.17 	8.88 	8.57 	6.51 
PC,Y55-64,F,GE_D4,UK	: 	11.27 	12.1 	12.53 	12.65 	12.2 
PC,Y55-64,M,FATALITY,AT	: 	23.53 	12.5 	9.26 	10.29 	14.63 
PC,Y55-64,M,FATALITY,BE	: 	13.33 	13.16 	11.76 	17.65 	9.38 
PC,Y55-64,M,FATALITY,BG	: 	24.53 	27.91 	22.73 	21.54 	15.24 
PC,Y55-64,M,FATALITY,CH	5.56 	13.89 	20 	23.53 	19.15 	21.05 
PC,Y55-64,M,FATALITY,CY	28.57 	0 	25 	23.53 	20 	36.36 
PC,Y55-64,M,FATALITY,CZ	: 	21.79 	20 	27.5 	21.21 	25.22 
PC,Y55-64,M,FATALITY,DE	22.08 	23.48 	22.13 	25.08 	21.77 	15.21 
PC,Y55-64,M,FATALITY,DK	: 	30 	20.83 	52.94 	38.89 	9.52 
PC,Y55-64,M,FATALITY,EE	: 	20 	9.09 	42.86 	40 	9.09 
PC,Y55-64,M,FATALITY,EL	: 	11.11 	20 	9.09 	4.17 	25 
PC,Y55-64,M,FATALITY,ES	: 	15.76 	16.67 	13.78 	13.53 	16.32 
PC,Y55-64,M,FATALITY,EU15	: 	20.6 e	19.22 	19.01 	18.35 	14.32 
PC,Y55-64,M,FATALITY,EU27	: 	21.71 	19.67 	18.74 	18.04 	15.43 
PC,Y55-64,M,FATALITY,EU28	: 	21.64 	19.64 	18.65 	18.16 	: 
PC,Y55-64,M,FATALITY,FI	: 	100 	33.33 	9.09 	11.76 	43.75 
PC,Y55-64,M,FATALITY,FR	: 	21.95 	20.05 	22.35 	19.73 	19.23 
PC,Y55-64,M,FATALITY,HR	: 	17.65 	14.29 	8.33 	: 	: 
PC,Y55-64,M,FATALITY,HU	: 	28.89 	24.56 	21.21 	18.57 	19.05 
PC,Y55-64,M,FATALITY,IE	: 	16.67 	6.25 	23.08 	15 	8.33 
PC,Y55-64,M,FATALITY,IT	: 	18.88 	19.22 	17.41 	17.45 	10.4 
PC,Y55-64,M,FATALITY,LT	: 	28.13 	6.67 	21.21 	13.79 	13.04 
PC,Y55-64,M,FATALITY,LU	: 	0 	0 	20 	0 	25 
PC,Y55-64,M,FATALITY,LV	: 	16 	21.74 	27.78 	15.79 	17.24 
PC,Y55-64,M,FATALITY,MT	100 	0 	0 	0 	100 	0 
PC,Y55-64,M,FATALITY,NL	: 	23.36 	9.06 	0 	25.64 	0 
PC,Y55-64,M,FATALITY,NO	: 	: 	0 	0 	0 	0 
PC,Y55-64,M,FATALITY,PL	: 	33.78 	26.01 	16.61 	17.91 	18.29 
PC,Y55-64,M,FATALITY,PT	: 	19.32 	16.5 	17.16 	15.23 	: 
PC,Y55-64,M,FATALITY,RO	: 	16.56 	12.82 	12.25 	14.18 	13.58 
PC,Y55-64,M,FATALITY,SE	43.48 	35 	40.74 	23.53 	25 	16.22 
PC,Y55-64,M,FATALITY,SI	: 	25 	33.33 	13.33 	9.52 	13.64 
PC,Y55-64,M,FATALITY,SK	: 	22.22 	46.15 	35.71 	25 	23.68 
PC,Y55-64,M,FATALITY,UK	: 	19.28 	19.35 	19.59 	32.47 	13.25 
PC,Y55-64,M,GE_D4,AT	: 	7.99 	7.78 	7.45 	7.37 	7.07 
PC,Y55-64,M,GE_D4,BE	: 	5.59 	5.23 	5.19 	4.89 	4.36 
PC,Y55-64,M,GE_D4,BG	: 	15.94 	16.19 	16.86 	15.38 	15.96 
PC,Y55-64,M,GE_D4,CH	11.07 	11.17 	10.35 	10.97 	10.97 	11 
PC,Y55-64,M,GE_D4,CY	12.53 	14.71 	12.88 	12.66 	13.78 	13.05 
PC,Y55-64,M,GE_D4,CZ	: 	13.31 	13.32 	13.56 	13.17 	12.24 
PC,Y55-64,M,GE_D4,DE	13.31 	13.16 	11.87 	11.93 	11.11 	10.04 
PC,Y55-64,M,GE_D4,DK	: 	16.53 	14.96 	15.29 	14.81 	14.01 
PC,Y55-64,M,GE_D4,EE	: 	14.92 	15.64 	18.38 	14.7 	13.75 
PC,Y55-64,M,GE_D4,EL	: 	8.14 	8.84 	8.3 	8.37 	8.4 
PC,Y55-64,M,GE_D4,ES	: 	9.99 	9.43 	9 	8.93 	7.97 
PC,Y55-64,M,GE_D4,EU15	: 	11.43 	10.39 	9.94 	9.74 	8.62 
PC,Y55-64,M,GE_D4,EU27	: 	11.49 	10.46 	10.05 	9.81 	8.73 
PC,Y55-64,M,GE_D4,EU28	: 	11.5 	10.46 	10.05 	9.82 	: 
PC,Y55-64,M,GE_D4,FI	: 	25.37 	13.72 	14.01 	13.91 	13.11 
PC,Y55-64,M,GE_D4,FR	: 	8.11 	7.65 	7.1 	6.67 	6.03 
PC,Y55-64,M,GE_D4,HR	: 	12.83 	10.57 	10.19 	: 	: 
PC,Y55-64,M,GE_D4,HU	: 	11.65 	10.85 	10.58 	10.22 	8.86 
PC,Y55-64,M,GE_D4,IE	: 	8.41 	7.04 	9.05 	7.76 	7.16 
PC,Y55-64,M,GE_D4,IT	: 	11.19 	10.1 	9.33 	9.08 	6.58 
PC,Y55-64,M,GE_D4,LT	: 	13.58 	13.54 	15.36 	13.3 	13.26 
PC,Y55-64,M,GE_D4,LU	: 	7.15 	6.46 	6.56 	4.85 	4.55 
PC,Y55-64,M,GE_D4,LV	: 	13.04 	13.59 	11.07 	10.86 	14.99 
PC,Y55-64,M,GE_D4,MT	14.08 	13.14 	11.53 	11.23 	11.81 	9.51 
PC,Y55-64,M,GE_D4,NL	: 	15.37 	14.73 	12.4 	15.82 	14.27 
PC,Y55-64,M,GE_D4,NO	: 	: 	0 	0 	0 	0 
PC,Y55-64,M,GE_D4,PL	: 	12.18 	11.09 	10.34 	9.23 	7.74 
PC,Y55-64,M,GE_D4,PT	: 	10.13 	10.03 	9.61 	9.82 	: 
PC,Y55-64,M,GE_D4,RO	: 	11.67 	10.93 	11.96 	9.62 	9.14 
PC,Y55-64,M,GE_D4,SE	20.4 	18.61 	19.2 	20 	19.07 	17.62 
PC,Y55-64,M,GE_D4,SI	: 	8.06 	7 	7.62 	6.94 	6.05 
PC,Y55-64,M,GE_D4,SK	: 	13.35 	12.25 	13.2 	13.17 	11.83 
PC,Y55-64,M,GE_D4,UK	: 	12.15 	11.91 	13.1 	12.75 	12.17 
PC,Y55-64,T,FATALITY,AT	: 	23.53 	12.2 	8.93 	11.27 	14.77 
PC,Y55-64,T,FATALITY,BE	: 	13.33 	13.16 	10.91 	19.23 	9.09 
PC,Y55-64,T,FATALITY,BG	: 	24.14 	28.26 	21.62 	23.19 	14.68 
PC,Y55-64,T,FATALITY,CH	5.56 	13.16 	18.92 	22.22 	19.15 	20.34 
PC,Y55-64,T,FATALITY,CY	28.57 	0 	25 	23.53 	20 	36.36 
PC,Y55-64,T,FATALITY,CZ	: 	21.79 	18.89 	25.29 	20 	24.37 
PC,Y55-64,T,FATALITY,DE	23.11 	23.26 	21.71 	24.49 	21.51 	15.05 
PC,Y55-64,T,FATALITY,DK	: 	30 	20.83 	55.56 	38.89 	9.52 
PC,Y55-64,T,FATALITY,EE	: 	20 	9.09 	37.5 	40 	7.69 
PC,Y55-64,T,FATALITY,EL	: 	11.11 	20 	8.7 	3.85 	24.53 
PC,Y55-64,T,FATALITY,ES	: 	16.07 	16.11 	13.79 	12.9 	16.2 
PC,Y55-64,T,FATALITY,EU15	: 	20.57 e	18.97 	18.92 	18.11 	14.18 
PC,Y55-64,T,FATALITY,EU27	: 	21.68 	19.51 	18.53 	17.73 	15.06 
PC,Y55-64,T,FATALITY,EU28	: 	21.62 	19.46 	18.44 	17.85 	: 
PC,Y55-64,T,FATALITY,FI	: 	100 	33.33 	8.7 	11.11 	41.18 
PC,Y55-64,T,FATALITY,FR	: 	22 	19.51 	23.01 	19.35 	18.64 
PC,Y55-64,T,FATALITY,HR	: 	17.65 	13.33 	8.33 	: 	: 
PC,Y55-64,T,FATALITY,HU	: 	30.43 	25.42 	22.86 	17.57 	17.78 
PC,Y55-64,T,FATALITY,IE	: 	16.67 	6.25 	23.08 	14.29 	8.33 
PC,Y55-64,T,FATALITY,IT	: 	18.99 	18.8 	17.06 	17.43 	10.44 
PC,Y55-64,T,FATALITY,LT	: 	30.3 	11.43 	22.22 	14.71 	12.5 
PC,Y55-64,T,FATALITY,LU	: 	0 	0 	20 	0 	25 
PC,Y55-64,T,FATALITY,LV	: 	15.38 	20 	30 	17.39 	16.13 
PC,Y55-64,T,FATALITY,MT	100 	0 	0 	0 	100 	0 
PC,Y55-64,T,FATALITY,NL	: 	23.36 	8.89 	0 	25.64 	0 
PC,Y55-64,T,FATALITY,NO	: 	: 	0 	0 	0 	0 
PC,Y55-64,T,FATALITY,PL	: 	33.33 	26.29 	16.25 	17.73 	17.66 
PC,Y55-64,T,FATALITY,PT	: 	18.68 	17.92 	16.79 	14.74 	: 
PC,Y55-64,T,FATALITY,RO	: 	16.03 	12.8 	11.44 	13.31 	12.83 
PC,Y55-64,T,FATALITY,SE	43.48 	33.33 	38.71 	22.86 	23.08 	15.79 
PC,Y55-64,T,FATALITY,SI	: 	25 	33.33 	13.33 	9.52 	13.64 
PC,Y55-64,T,FATALITY,SK	: 	22.22 	42.86 	31.25 	21.05 	23.68 
PC,Y55-64,T,FATALITY,UK	: 	18.82 	19.59 	19.59 	32.1 	13.25 
PC,Y55-64,T,GE_D4,AT	: 	8.05 	7.74 	7.45 	7.49 	6.96 
PC,Y55-64,T,GE_D4,BE	: 	5.85 	5.4 	5.35 	5.02 	4.43 
PC,Y55-64,T,GE_D4,BG	: 	16.82 	16.69 	17.37 	15.35 	15.69 
PC,Y55-64,T,GE_D4,CH	11.27 	11.36 	10.62 	11.2 	11.25 	11.17 
PC,Y55-64,T,GE_D4,CY	15.04 	16.76 	14.89 	14.97 	14.91 	14.24 
PC,Y55-64,T,GE_D4,CZ	: 	13.08 	12.9 	13.37 	12.68 	11.84 
PC,Y55-64,T,GE_D4,DE	14.15 	13.63 	12.61 	12.45 	11.76 	10.57 
PC,Y55-64,T,GE_D4,DK	: 	15.98 	14.49 	14.79 	14.05 	13.45 
PC,Y55-64,T,GE_D4,EE	: 	17.98 	19.06 	19.68 	18.25 	16.09 
PC,Y55-64,T,GE_D4,EL	: 	7.95 	8.6 	8.21 	8.4 	7.92 
PC,Y55-64,T,GE_D4,ES	: 	10.15 	9.44 	8.72 	8.57 	7.57 
PC,Y55-64,T,GE_D4,EU15	: 	11.69 	10.67 	10.12 	9.95 	8.68 
PC,Y55-64,T,GE_D4,EU27	: 	11.73 	10.72 	10.22 	9.99 	8.76 
PC,Y55-64,T,GE_D4,EU28	: 	11.73 	10.71 	10.21 	10.01 	: 
PC,Y55-64,T,GE_D4,FI	: 	25.63 	14.39 	14.45 	14.46 	13.67 
PC,Y55-64,T,GE_D4,FR	: 	8.58 	7.97 	7.48 	7 	6.37 
PC,Y55-64,T,GE_D4,HR	: 	11.48 	9.89 	9.49 	: 	: 
PC,Y55-64,T,GE_D4,HU	: 	12.16 	11.68 	11.52 	10.93 	9.1 
PC,Y55-64,T,GE_D4,IE	: 	7.97 	7.58 	8.84 	7.24 	6.93 
PC,Y55-64,T,GE_D4,IT	: 	11.8 	10.68 	9.91 	9.61 	6.82 
PC,Y55-64,T,GE_D4,LT	: 	13.91 	13.33 	15.76 	13.89 	13.53 
PC,Y55-64,T,GE_D4,LU	: 	7.12 	6.5 	6.63 	5.07 	4.62 
PC,Y55-64,T,GE_D4,LV	: 	16.06 	14.39 	14.72 	12.27 	16.16 
PC,Y55-64,T,GE_D4,MT	13.88 	13.13 	11.54 	10.77 	11.24 	8.93 
PC,Y55-64,T,GE_D4,NL	: 	15.36 	13.21 	11.67 	15.11 	12.21 
PC,Y55-64,T,GE_D4,NO	: 	: 	0 	0 	0 	0 
PC,Y55-64,T,GE_D4,PL	: 	11.7 	10.74 	9.99 	8.68 	7.17 
PC,Y55-64,T,GE_D4,PT	: 	10.04 	10.11 	9.63 	9.74 	: 
PC,Y55-64,T,GE_D4,RO	: 	10.51 	9.64 	10.32 	8.4 	7.94 
PC,Y55-64,T,GE_D4,SE	19.77 	18.41 	18.73 	19.24 	19.16 	17.83 
PC,Y55-64,T,GE_D4,SI	: 	7.45 	6.42 	6.98 	6.37 	5.53 
PC,Y55-64,T,GE_D4,SK	: 	12.67 	11.71 	12.07 	11.93 	10.45 
PC,Y55-64,T,GE_D4,UK	: 	11.95 	11.95 	12.97 	12.72 	12.18 
PC,Y55-64,UNK,FATALITY,AT	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,BE	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,BG	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,CH	0 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,CY	0 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,CZ	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,DE	0 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,DK	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,EE	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,EL	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,ES	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,EU15	: 	0 	0 	0 	0 	0 
PC,Y55-64,UNK,FATALITY,EU27	: 	0 	0 	0 	0 	0 
