unit,age,sex,severity,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
NR,TOTAL,T,FATALITY,EL	: 	18 	20 	23 	23 	49 
NR,TOTAL,T,FATALITY,ES	: 	168 	211 	185 	222 	320 
NR,TOTAL,T,FATALITY,EU15	: 	1381 	1558 	1860 	1933 	1946 
NR,TOTAL,T,FATALITY,EU27	: 	1988 	2187 	2753 	2849 	3154 
NR,TOTAL,T,FATALITY,EU28	: 	2022 	2202 	2777 	2823 	: 
NR,TOTAL,T,FATALITY,FI	: 	2 	12 	18 	18 	16 
NR,TOTAL,T,FATALITY,FR	: 	350 	405 	365 	290 	66 
NR,TOTAL,T,FATALITY,HR	: 	34 	15 	24 	: 	: 
NR,TOTAL,T,FATALITY,HU	: 	46 	59 	55 	50 	70 
NR,TOTAL,T,FATALITY,IE	: 	18 	16 	13 	21 	23 
NR,TOTAL,T,FATALITY,IT	: 	237 	266 	254 	276 	306 
NR,TOTAL,T,FATALITY,LT	: 	33 	35 	35 	30 	48 
NR,TOTAL,T,FATALITY,LU	: 	6 	4 	9 	5 	4 
NR,TOTAL,T,FATALITY,LV	: 	26 	25 	13 	23 	24 
NR,TOTAL,T,FATALITY,MT	1 	2 	0 	1 	1 	2 
NR,TOTAL,T,FATALITY,NL	: 	26 	29 	30 	39 	48 
NR,TOTAL,T,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,T,FATALITY,PL	: 	156 	175 	277 	282 	351 
NR,TOTAL,T,FATALITY,PT	: 	91 	106 	105 	108 	137 
NR,TOTAL,T,FATALITY,RO	: 	156 	164 	201 	216 	323 
NR,TOTAL,T,FATALITY,SE	23 	21 	31 	35 	26 	28 
NR,TOTAL,T,FATALITY,SI	: 	16 	6 	14 	19 	17 
NR,TOTAL,T,FATALITY,SK	: 	27 	14 	8 	13 	11 
NR,TOTAL,T,FATALITY,UK	: 	85 	97 	97 	81 	83 
NR,TOTAL,T,GE_D4,AT	: 	42239 	42959 	43247 	43690 	51988 
NR,TOTAL,T,GE_D4,BE	: 	42427 	47505 	47987 	47065 	56039 
NR,TOTAL,T,GE_D4,BG	: 	1492 	1498 	1514 	1674 	2110 
NR,TOTAL,T,GE_D4,CH	59782 	58903 	58978 	55226 	53073 	52488 
NR,TOTAL,T,GE_D4,CY	1197 	1390 	1625 	1777 	1804 	2001 
NR,TOTAL,T,GE_D4,CZ	: 	32009 	32927 	49843 	51398 	80696 
NR,TOTAL,T,GE_D4,DE	587668 	580851 	612005 	607448 	558698 	632459 
NR,TOTAL,T,GE_D4,DK	: 	25466 	25574 	27660 	28313 	37246 
NR,TOTAL,T,GE_D4,EE	: 	4491 	4585 	4329 	3827 	6147 
NR,TOTAL,T,GE_D4,EL	: 	10266 	10884 	13025 	17030 	20961 
NR,TOTAL,T,GE_D4,ES	: 	245969 	322209 	356709 	394969 	534874 
NR,TOTAL,T,GE_D4,EU15	: 	1778655 e	2121841 	2295586 	2169015 	2389519 
NR,TOTAL,T,GE_D4,EU27	: 	1915077 e	2260163 	2452061 	2322302 	2600647 
NR,TOTAL,T,GE_D4,EU28	: 	1922842 e	2269848 	2460399 	2305273 	: 
NR,TOTAL,T,GE_D4,FI	: 	2509 	28411 	27784 	26629 	35654 
NR,TOTAL,T,GE_D4,FR	: 	262436 	410813 	690153 	403772 	451686 
NR,TOTAL,T,GE_D4,HR	: 	7764 	9686 	8337 	: 	: 
NR,TOTAL,T,GE_D4,HU	: 	13796 	11908 	13704 	12834 	16355 
NR,TOTAL,T,GE_D4,IE	: 	8647 	9398 	9227 	5993 	11160 
NR,TOTAL,T,GE_D4,IT	: 	210788 	248962 	277235 	290803 	295098 
NR,TOTAL,T,GE_D4,LT	: 	1962 	1815 	1497 	1346 	2254 
NR,TOTAL,T,GE_D4,LU	: 	5379 	5341 	5115 	5072 	6149 
NR,TOTAL,T,GE_D4,LV	: 	984 	848 	693 	652 	1095 
NR,TOTAL,T,GE_D4,MT	1809 	1752 	1690 	1848 	1904 	2173 
NR,TOTAL,T,GE_D4,NL	: 	101899 	106527 	106386 	87618 	106094 
NR,TOTAL,T,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,T,GE_D4,PL	: 	59563 	61592 	59864 	56032 	71244 
NR,TOTAL,T,GE_D4,PT	: 	92894 	99088 	99502 	101731 	138077 
NR,TOTAL,T,GE_D4,RO	: 	2635 	2572 	2887 	2774 	3705 
NR,TOTAL,T,GE_D4,SE	20563 	21233 	20581 	20031 	18190 	21237 
NR,TOTAL,T,GE_D4,SI	: 	9779 	10574 	11508 	12018 	14072 
NR,TOTAL,T,GE_D4,SK	: 	6569 	6688 	7011 	7024 	9276 
NR,TOTAL,T,GE_D4,UK	: 	125651 	131585 	132310 	139441 	128873 
NR,TOTAL,UNK,FATALITY,AT	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,BE	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,BG	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,CH	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,CY	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,CZ	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,DE	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,DK	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,EE	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,EL	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,ES	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,EU15	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,EU27	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,EU28	: 	0 	0 	0 	0 	: 
NR,TOTAL,UNK,FATALITY,FI	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,FR	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,HR	: 	0 	0 	0 	: 	: 
NR,TOTAL,UNK,FATALITY,HU	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,IE	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,IT	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,LT	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,LU	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,LV	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,MT	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,NL	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,PL	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,PT	: 	0 	0 	0 	0 	: 
NR,TOTAL,UNK,FATALITY,RO	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,SE	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,SI	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,SK	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,FATALITY,UK	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,AT	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,BE	: 	2 	8 	19 	19 	38 
NR,TOTAL,UNK,GE_D4,BG	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,CH	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,CY	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,CZ	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,DE	0 	69 	147 	90 	55 	219 
NR,TOTAL,UNK,GE_D4,DK	: 	38 	29 	45 	109 	240 
NR,TOTAL,UNK,GE_D4,EE	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,EL	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,ES	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,EU15	: 	155 u	217 e	212 u	210 u	528 u
NR,TOTAL,UNK,GE_D4,EU27	: 	155 u	217 e	212 u	210 u	534 u
NR,TOTAL,UNK,GE_D4,EU28	: 	155 u	217 e	212 u	210 u	: 
NR,TOTAL,UNK,GE_D4,FI	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,FR	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,HR	: 	0 	0 	0 	: 	: 
NR,TOTAL,UNK,GE_D4,HU	: 	0 	0 	0 	0 	6 
NR,TOTAL,UNK,GE_D4,IE	: 	37 	25 	55 	27 	28 
NR,TOTAL,UNK,GE_D4,IT	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,LT	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,LU	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,LV	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,MT	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,NL	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,PL	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,PT	: 	0 	0 	0 	0 	: 
NR,TOTAL,UNK,GE_D4,RO	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,SE	0 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,SI	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,SK	: 	0 	0 	0 	0 	0 
NR,TOTAL,UNK,GE_D4,UK	: 	9 	7 	3 	0 	3 
NR,UNK,F,FATALITY,AT	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,BE	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,BG	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,CH	0 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,CY	0 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,CZ	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,DE	0 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,DK	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,EE	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,EL	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,ES	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,EU15	: 	0 	1 	0 	0 	1 
NR,UNK,F,FATALITY,EU27	: 	0 	1 	0 	0 	1 
NR,UNK,F,FATALITY,EU28	: 	0 	1 	0 	0 	: 
NR,UNK,F,FATALITY,FI	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,FR	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,HR	: 	0 	0 	0 	: 	: 
NR,UNK,F,FATALITY,HU	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,IE	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,IT	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,LT	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,LU	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,LV	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,MT	0 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,NL	: 	0 	0 	0 	0 	1 
NR,UNK,F,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,UNK,F,FATALITY,PL	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,PT	: 	0 	0 	0 	0 	: 
NR,UNK,F,FATALITY,RO	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,SE	0 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,SI	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,SK	: 	0 	0 	0 	0 	0 
NR,UNK,F,FATALITY,UK	: 	0 	1 	0 	0 	0 
NR,UNK,F,GE_D4,AT	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,BE	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,BG	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,CH	5 	5 	8 	11 	11 	24 
NR,UNK,F,GE_D4,CY	0 	0 	0 	0 	0 	3 
NR,UNK,F,GE_D4,CZ	: 	0 	0 	35 	13 	10 
NR,UNK,F,GE_D4,DE	286 	257 	313 	390 	249 	532 
NR,UNK,F,GE_D4,DK	: 	0 	0 	0 	0 	2 
NR,UNK,F,GE_D4,EE	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,EL	: 	0 	0 	0 	28 	38 
NR,UNK,F,GE_D4,ES	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,EU15	: 	7782 	6919 	7598 	6456 e	6649 
NR,UNK,F,GE_D4,EU27	: 	7782 	6920 	7633 	6469 e	6662 
NR,UNK,F,GE_D4,EU28	: 	7782 	6920 	7633 	6440 e	: 
NR,UNK,F,GE_D4,FI	: 	0 	0 	0 	0 	1 
NR,UNK,F,GE_D4,FR	: 	3 	1 	1253 	712 	815 
NR,UNK,F,GE_D4,HR	: 	0 	0 	0 	: 	: 
NR,UNK,F,GE_D4,HU	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,IE	: 	87 	82 	91 	73 	564 
NR,UNK,F,GE_D4,IT	: 	128 	119 	111 	114 	43 
NR,UNK,F,GE_D4,LT	: 	0 	1 	0 	0 	0 
NR,UNK,F,GE_D4,LU	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,LV	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,MT	0 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,NL	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,UNK,F,GE_D4,PL	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,PT	: 	68 	278 	395 	345 	: 
NR,UNK,F,GE_D4,RO	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,SE	2 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,SI	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,SK	: 	0 	0 	0 	0 	0 
NR,UNK,F,GE_D4,UK	: 	7239 	6125 	5669 	4934 	4654 
NR,UNK,M,FATALITY,AT	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,BE	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,BG	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,CH	0 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,CY	0 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,CZ	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,DE	0 	0 	0 	0 	1 	0 
NR,UNK,M,FATALITY,DK	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,EE	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,EL	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,ES	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,EU15	: 	17 	12 	11 	15 	67 
NR,UNK,M,FATALITY,EU27	: 	17 	12 	11 	15 	68 
NR,UNK,M,FATALITY,EU28	: 	17 	12 	11 	15 	: 
NR,UNK,M,FATALITY,FI	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,FR	: 	0 	0 	2 	2 	1 
NR,UNK,M,FATALITY,HR	: 	0 	0 	0 	: 	: 
NR,UNK,M,FATALITY,HU	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,IE	: 	0 	0 	0 	0 	0 
NR,UNK,M,FATALITY,IT	: 	12 	8 	4 	7 	9 
NR,UNK,M,FATALITY,LT	: 	0 	0 	0 	0 	0 
